# USDA NASS Quick Stats, environmental: North Dakota nitrogen fertilizer application.
# DOMAIN_DESC = FERTILIZER, DOMAINCAT_DESC = FERTILIZER: (NITROGEN), state level.
# practice = PRODN_PRACTICE_DESC. ORGANIC is a SEPARATE record from ALL PRODUCTION
# PRACTICES and must not be mixed into a synthetic-ammonia model; dropping this
# column collapsed two distinct 2009 spring-wheat records into one.
# PER_APP = LB / ACRE / APPLICATION, AVG    APPS = NUMBER, AVG
# PER_YEAR = LB / ACRE / YEAR, AVG          PCT_AREA = PCT OF AREA PLANTED, AVG
# (D) = withheld by NASS to avoid disclosing individual operations.
# Retrieved 2026-09-19 from qs.environmental_20260919.txt.gz. 17 U.S.C. 105, no copyright.
crop	class	practice	year	measure	value
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2017	PCT_AREA	45
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2017	PER_APP	14
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2017	PER_YEAR	15
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2018	APPS	1
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2018	PCT_AREA	55
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2018	PER_APP	10
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2018	PER_YEAR	10
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2020	APPS	1.1
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2020	PCT_AREA	41
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2020	PER_APP	7
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2020	PER_YEAR	8
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	APPS	1.2
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PCT_AREA	40
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PER_APP	7
SOYBEANS	ALL CLASSES	ALL PRODUCTION PRACTICES	2023	PER_YEAR	8
SUGARBEETS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	APPS	1.2
SUGARBEETS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PCT_AREA	94
SUGARBEETS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PER_APP	60
SUGARBEETS	ALL CLASSES	ALL PRODUCTION PRACTICES	2000	PER_YEAR	72
SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	1999	APPS	1.3
SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	1999	PCT_AREA	96
SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	1999	PER_APP	54
SUNFLOWER	ALL CLASSES	ALL PRODUCTION PRACTICES	1999	PER_YEAR	71
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1990	APPS	1.43
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1990	PCT_AREA	68
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1990	PER_APP	31
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1990	PER_YEAR	44
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1991	APPS	1.4
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1991	PCT_AREA	75
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1991	PER_APP	36
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1991	PER_YEAR	51
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1992	APPS	1.6
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1992	PCT_AREA	85
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1992	PER_APP	36
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1992	PER_YEAR	56
WHEAT	SPRING, (EXCL DURUM)	ALL PRODUCTION PRACTICES	1993	APPS	1.6
